Date,Trinity Mtn. (830) Precipitation Accumulation (in) Start of Day Values,
6/11/17,71.8,0
6/12/17,72,0.2
6/13/17,72.7,0.7
6/14/17,72.9,0
6/15/17,72.9,0
6/16/17,72.9,0
6/17/17,73.2,0.3
6/18/17,73.2,0
6/19/17,73.2,0
6/20/17,73.2,0
6/21/17,73.2,0
6/22/17,73.2,0
6/23/17,73.2,0
6/24/17,73.2,0
6/25/17,73.2,0
6/26/17,73.2,0
6/27/17,73.3,0.1
6/28/17,73.3,0
6/29/17,73.3,0
6/30/17,73.3,0
7/1/17,73.3,0
7/2/17,73.3,0
7/3/17,73.3,0
7/4/17,73.3,0
7/5/17,73.3,0
7/6/17,73.3,0
7/7/17,73.3,0
7/8/17,73.3,0
7/9/17,73.3,0
7/10/17,73.3,0
7/11/17,73.3,0
7/12/17,73.3,0
7/13/17,73.3,0
7/14/17,73.3,0
7/15/17,73.3,0
7/16/17,73.3,0
7/17/17,73.3,0
7/18/17,73.3,0
7/19/17,73.3,0
7/20/17,73.4,0
7/21/17,73.4,0
7/22/17,73.4,0
7/23/17,73.4,0
7/24/17,73.4,0
7/25/17,73.4,0
7/26/17,73.5,0.1
7/27/17,74,0.5
7/28/17,74,0
7/29/17,74.1,0.1
7/30/17,74.1,0
7/31/17,74.1,0
8/1/17,74.1,0
8/2/17,74.1,0
8/3/17,74.1,0
8/4/17,74.1,0
8/5/17,74.1,0
8/6/17,74.1,0
8/7/17,74.1,0
8/8/17,74.1,0
8/9/17,74.1,0
8/10/17,74.1,0
8/11/17,74.1,0
8/12/17,74.1,0
8/13/17,74.1,0
8/14/17,74.5,0.4
8/15/17,74.6,0.1
8/16/17,74.6,0
8/17/17,74.6,0
8/18/17,74.6,0
8/19/17,74.6,0
8/20/17,74.6,0
8/21/17,74.6,0
8/22/17,74.6,0
8/23/17,74.6,0
8/24/17,75.4,0.8
8/25/17,75.4,0
8/26/17,75.4,0
8/27/17,75.4,0
8/28/17,75.4,0
8/29/17,75.4,0
8/30/17,75.4,0
8/31/17,75.4,0
9/1/17,75.4,0
9/2/17,75.4,0
9/3/17,75.4,0
9/4/17,75.4,0
9/5/17,75.4,0
9/6/17,75.4,0
9/7/17,75.5,0.1
9/8/17,75.5,0
9/9/17,75.5,0
9/10/17,75.5,0
9/11/17,75.5,0
9/12/17,75.5,0
9/13/17,75.5,0
9/14/17,75.5,0
9/15/17,75.5,0
9/16/17,75.6,0.1
9/17/17,75.6,0
9/18/17,75.6,0
9/19/17,76.1,0.5
9/20/17,76.7,0.6
9/21/17,77,0.3
9/22/17,77.2,0
9/23/17,77.3,0.1
9/24/17,77.3,0
9/25/17,77.3,0
9/26/17,77.3,0
9/27/17,77.3,0
9/28/17,77.3,0
9/29/17,77.3,0
9/30/17,77.3,0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
